ID_Producto_Generado,Marca,Nombre_Producto,Precio_MXN,Moneda,URL_Imagen_Principal,Genero,Categoria_Producto,Coleccion_Fuente
BSK-M-06803758800,Bershka,Cazadora paño,1499,MXN,https://static.bershka.net/assets/public/261a/ca67/a9344b299a40/5f11f12854e4/06790564700-a2d/06790564700-a2d.jpg?ts=1758795166996&w=850&f=auto,Hombre,Cazadora/Chamarra,Novedades
BSK-M-06957759812,Bershka,Abrigo efecto cepillado,1999,MXN,https://static.bershka.net/assets/public/48ce/bd9a/7433460fa58c/79ac3fe711b1/06957759812-a2d/06957759812-a2d.jpg,Hombre,Abrigo,Novedades
BSK-M-06960752800,Bershka,Abrigo paño cruzado,1049,MXN,https://static.bershka.net/assets/public/84cb/d0b2/669b4171a78e/b2135a666ced/06960752800-p/06960752800-p.jpg,Hombre,Abrigo,Novedades
BSK-M-06759730800-02,Bershka,Cazadora efecto vinilo cuello pelo,1999,MXN,https://static.bershka.net/assets/public/189b/6fa8/60be49ca971d/fa73e2872fff/06759730800-02-p/06759730800-02-p.jpg,Hombre,Cazadora/Chamarra,Novedades
BSK-M-06813073800,Bershka,Cazadora efecto piel,1799,MXN,https://static.bershka.net/assets/public/6d57/3025/015d4ac2a646/fc8452db4336/06813073800-p/06813073800-p.jpg,Hombre,Cazadora/Chamarra,Novedades
BSK-M-06816202805,Bershka,Cazadora puffy tricot,2399,MXN,https://static.bershka.net/assets/public/eada/e77f/60af4fc88a6b/28189f1b0011/06816202805-p/06816202805-p.jpg,Hombre,Cazadora/Chamarra,Novedades
BSK-M-06770046800,Bershka,Cazadora puffy técnica,1049,MXN,https://static.bershka.net/assets/public/0eaa/8e23/907e407dbb22/b0b57828d9ca/06770046800-p/06770046800-p.jpg,Hombre,Cazadora/Chamarra,Novedades
BSK-M-06811718800,Bershka,Cazadora puffy efecto piel,1799,MXN,https://static.bershka.net/assets/public/18f1/d9f1/5fba45ebbd8f/12d4d4ee77bd/06811718800-p/06811718800-p.jpg,Hombre,Cazadora/Chamarra,Novedades
BSK-M-06961202800,Bershka,Abrigo largo puffy,1799,MXN,https://static.bershka.net/assets/public/66c7/144f/86e548e9bcf2/862d6b4171e2/06961202800-p/06961202800-p.jpg,Hombre,Abrigo,Novedades
BSK-M-06808407802,Bershka,Cazadora efecto pelo capucha,1999,MXN,https://static.bershka.net/assets/public/6c7e/4791/c29c43beabd0/36a30801f4e1/06808407802-p/06808407802-p.jpg,Hombre,Cazadora/Chamarra,Novedades
BSK-M-06822677800,Bershka,Cazadora paño mangas efecto piel,1499,MXN,https://static.bershka.net/assets/public/5f61/821e/f1cf462ba4ba/d9b7d8cbd6ae/06822677800-p/06822677800-p.jpg,Hombre,Cazadora/Chamarra,Novedades
BSK-M-07340686800,Bershka,Jersey efecto cepillado print,1199,MXN,https://static.bershka.net/assets/public/d84c/d7f2/ba6e4f208bc7/c5e140b17812/07340686800-p/07340686800-p.jpg,Hombre,Jersey,Novedades
BSK-M-05379156800,Bershka,Jeans baggy tachas,1299,MXN,https://static.bershka.net/assets/public/508f/adf9/f2f84a35ba09/f5842d08813d/05379156800-p/05379156800-p.jpg,Hombre,Jeans,Novedades
BSK-M-09725702800,Bershka,Beanie print,349,MXN,https://static.bershka.net/assets/public/f031/9ab1/4144458f9f68/064155eeb9e6/09725702800-p/09725702800-p.jpg,Hombre,Accesorio,Novedades
